id,rtyp_a,c008_form_m,c008_dat1_m,c008_dat2_m,c008_dat1_sub,c008_lang_m,c008_ctry_m,v1x0_inv,v1x0_typo,v7x0_m,v7x0_half,v245b_m,v245c_m,v245_typo,v250_m,v250_mov,v26x_ntok_m,v26x_unk,v26x_typo,v300bc_m,nb_errors,rm_score_clean,rm_score_dirty,rm_score_diff,dm_prob_clean,dm_prob_dirty,dm_score_diff
45703,,,,,1,1,,1,,1,,1,,,,,,,,1,6,0.8611,0.6111,0.2500,0.9240,0.5566,0.3674
49930,,1,1,1,,,,,,,,1,,,,,,,,,4,0.9167,0.6667,0.2500,0.9186,0.5533,0.3652
47383,,1,,,1,,1,,,,,,,,,,1,,,1,5,0.9167,0.6667,0.2500,0.9353,0.5707,0.3646
45571,,,1,,,1,1,,,,,,,,,,1,,,1,5,0.8333,0.6389,0.1944,0.8623,0.4988,0.3634
46950,,,,,,1,,,,,,,,,,,1,,,,2,0.7500,0.5833,0.1667,0.6005,0.2397,0.3608
46538,,,,,,,1,,1,,,,1,,,,1,,,1,5,0.8333,0.5833,0.2500,0.7328,0.3723,0.3605
49589,,,,,,,1,,,,,1,,,,,1,,,1,4,0.7500,0.6667,0.0833,0.6969,0.3489,0.3480
48819,,,,,,1,1,,,,,,,1,,,1,,,1,5,0.7500,0.5833,0.1667,0.7817,0.4352,0.3465
47544,,,1,,,,,,,,,,,,,,,1,,,2,0.7544,0.5877,0.1667,0.7845,0.4386,0.3459
49596,,1,,,,1,,,,,,,,,,,,,,,2,0.7500,0.5833,0.1667,0.7071,0.3646,0.3425
48150,,1,,1,1,1,1,,,,,,1,,,,,,,1,7,0.9167,0.6667,0.2500,0.6703,0.3354,0.3349
46096,,1,,1,1,,1,,,1,,,,,,,,,,,5,0.7500,0.5833,0.1667,0.6014,0.2792,0.3223
48958,,,,,1,1,1,,,,,1,,,,,,,,1,5,0.7692,0.5000,0.2692,0.8888,0.5704,0.3184
47365,,1,,,,1,1,,,,,,,,,1,1,,,,5,0.7500,0.5000,0.2500,0.7185,0.4014,0.3171
49598,,1,,,,,1,,,,,,,,,,1,,,,3,0.8333,0.6000,0.2333,0.7218,0.4106,0.3111
47798,,1,,,,1,1,,,,,,,,,,,,,,3,0.9167,0.6667,0.2500,0.6890,0.3781,0.3109
45114,,,1,,,1,,,,,,,,,,,,,,1,3,0.8000,0.6667,0.1333,0.8423,0.5359,0.3064
48349,,1,,,,1,1,,,1,,,,,,,,,,1,5,0.9296,0.5963,0.3333,0.8037,0.5025,0.3012
45012,,1,1,,,1,1,,,1,,,1,,,,,,,,6,0.8333,0.5833,0.2500,0.6120,0.3120,0.3000
47436,,,,,,1,,,,1,,,,,1,,,,,1,4,0.7500,0.5000,0.2500,0.7790,0.4855,0.2936
48196,,1,,,,,,,,,,,1,,,,1,,,1,4,0.7963,0.7130,0.0833,0.6613,0.3687,0.2927
49532,,,,,1,1,1,,,,,1,,,,,,,,,4,0.8333,0.5926,0.2407,0.8549,0.5628,0.2922
47976,,1,,,,1,,,,,,,,,1,,,,,,3,0.9167,0.6667,0.2500,0.6259,0.3349,0.2910
46833,,,,,,1,,,,,,,,1,,,,1,,,3,0.7500,0.5833,0.1667,0.7817,0.4919,0.2898
45396,,,,,1,1,1,,,,,,,,,,,,,1,4,0.8000,0.7167,0.0833,0.6533,0.3700,0.2833
46037,,,,,,1,,,,,,1,,,,,,,,,2,0.8083,0.6417,0.1667,0.8227,0.5622,0.2605
48926,,1,,,,1,,1,,,,,,,,,1,,,,4,0.8333,0.6667,0.1667,0.7356,0.4823,0.2534
47042,,,,1,,1,,,,,,,1,,,1,1,,,,5,0.8333,0.6389,0.1944,0.6340,0.3942,0.2398
46008,,,,,,,,,,,,1,,,,,,1,,1,3,0.7500,0.6667,0.0833,0.7682,0.5439,0.2242
47374,,,,,,,1,,1,1,,,,,,1,1,,,,5,0.7500,0.5833,0.1667,0.7770,0.5660,0.2109
49057,,,,,1,,1,,,,,,,,,,1,,,,3,0.7500,0.5833,0.1667,0.6949,0.4873,0.2077
45592,,,,,,,1,,1,,,,,,,,1,,,,3,0.7500,0.6667,0.0833,0.7092,0.5051,0.2040
49813,,,1,,,1,1,,1,,,,,,,,1,,,1,6,0.9444,0.5833,0.3611,0.5985,0.3951,0.2034
49016,,,,,,,,,,,,1,,,1,,,,,1,3,0.7917,0.5833,0.2083,0.7505,0.5606,0.1899
47144,,,,,,,1,,,,,,1,,,,,1,,1,4,0.7500,0.6667,0.0833,0.7084,0.5271,0.1813
47566,,,,,1,1,1,,,,,,1,,,,1,,,,5,0.8690,0.6786,0.1905,0.6903,0.5108,0.1795
48727,,,1,,,,1,,1,1,,1,,,,,,,,,5,0.8512,0.7345,0.1167,0.6449,0.4747,0.1703
45844,,,,,,1,,,,,,,,,,,,,,,1,0.7500,0.6667,0.0833,0.6286,0.4855,0.1432
46098,,1,,1,,1,1,,,,1,,1,,,,1,,,,7,0.7500,0.5000,0.2500,0.6272,0.4896,0.1376
49539,,,,,1,1,,,,,,,,,,,,,,,2,0.7917,0.7083,0.0833,0.6660,0.5787,0.0873
47573,,,,,,1,1,,1,,,,,,,,,,,1,4,0.8194,0.5694,0.2500,0.6660,0.5794,0.0866
45633,,,,,,,1,,,,,,,,,,1,,,,2,0.7500,0.6667,0.0833,0.5841,0.5180,0.0661
45133,,,,,1,,,,1,1,,,,,,,,,,1,4,0.7778,0.6944,0.0833,0.6345,0.5763,0.0582
45690,,,,,,1,,,,,,,,,,,1,,,,2,0.8000,0.6500,0.1500,0.5904,0.5500,0.0404
